State,Sector,Indicator,Sub Indicator,Value
All India,Rural,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,87.5
All India,Urban,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,86
All India,All,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,87
All India,Rural,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Access to Improved Latrine,97.5
All India,Urban,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Access to Improved Latrine,99
All India,All,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Access to Improved Latrine,98
Andaman & N. Island,Rural,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,90.5
Andaman & N. Island,Urban,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,96.4
Andaman & N. Island,All,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,92.9
Andaman & N. Island,Rural,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Access to Improved Latrine,100
Andaman & N. Island,Urban,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Access to Improved Latrine,100
Andaman & N. Island,All,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Access to Improved Latrine,100
Andhra Pradesh,Rural,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,91.8
Andhra Pradesh,Urban,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,91.7
Andhra Pradesh,All,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Exclusive Access to Improved Latrine,91.8
Andhra Pradesh,Rural,"Percentage of Persons Reported Access to Improved Latrine and Exclusive Access to Improved Latrine for Each State, Among Persons Reported to Have Access to Latrine",Access to Improved Latrine,99.8
