State,Sector,Indicator,Sub Indicator,Value
Andaman & N. Island,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability Open Public Space Within 500 M From Place of Living,58.5
Andaman & N. Island,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,98.18
Andaman & N. Island,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,98.88
Andaman & N. Island,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,86.1
Andaman & N. Island,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,99
Andhra Pradesh,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability Open Public Space Within 500 M From Place of Living,61.7
Andhra Pradesh,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,91.96
Andhra Pradesh,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,94.73
Andhra Pradesh,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,91.8
Andhra Pradesh,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,98.5
Arunachal Pradesh,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability Open Public Space Within 500 M From Place of Living,74.8
Arunachal Pradesh,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,75.59
Arunachal Pradesh,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,93.16
Arunachal Pradesh,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,34.9
Arunachal Pradesh,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,74
Assam,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability Open Public Space Within 500 M From Place of Living,59.3
Assam,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,89.43
Assam,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,92.51
Assam,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,54.6
Assam,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,80.5
Bihar,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability Open Public Space Within 500 M From Place of Living,63.8
Bihar,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,93.21
Bihar,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,86.63
Bihar,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,76.5
Bihar,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Living in Pucca Structure,94.1
Chandigarh,Urban,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability Open Public Space Within 500 M From Place of Living,94.2
Chandigarh,Rural,Percentage Distribution of Households by the Availabilty of Basic Transport and Public Facility,Reporting Availability of All Weather Roads Whithin 2 Km From the Place of Living,100
