State,Sector,Indicator,Sub Indicator,Value
Andaman & N. Island,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,34.3
Andaman & N. Island,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,39.6
Andaman & N. Island,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,56.2
Andaman & N. Island,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,57.5
Andaman & N. Island,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,9.5
Andaman & N. Island,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,2.8
Andhra Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,31.2
Andhra Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,22.4
Andhra Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,54.6
Andhra Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,69.4
Andhra Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,14.2
Andhra Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,8.2
Arunachal Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,16.8
Arunachal Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,75.1
Arunachal Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,83.2
Arunachal Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,24.9
Arunachal Pradesh,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0
Arunachal Pradesh,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,0
Assam,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,36.2
Assam,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,18.6
Assam,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,42.2
Assam,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Increased From the Last Usual Place of Residence,73.8
Assam,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,21.6
Assam,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Decreased From the Last Usual Place of Residence,7.6
Bihar,Rural,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,14
Bihar,Urban,Percentage Distribution of Persons* Reporting as Earner in the Last Usual Place of Residence by Change in Income Due to Migration,Same as in the Last Usual Place of Residence,20.8
