State,Sector,Indicator,Sub Indicator,Value
Andaman & N. Island,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0
Andaman & N. Island,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0.3
Andaman & N. Island,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,99.9
Andaman & N. Island,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,99.7
Andaman & N. Island,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0.1
Andaman & N. Island,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0
Andaman & N. Island,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Andaman & N. Island,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Andhra Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,36.8
Andhra Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,22.2
Andhra Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,58.6
Andhra Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,74.6
Andhra Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,2.1
Andhra Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,1.2
Andhra Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,2.5
Andhra Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,2
Arunachal Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,21
Arunachal Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,5.8
Arunachal Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,70
